ID,U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,PX0,PY0,PX1,PY1,PX2,PY2,PX3,PY3,PX4,PY4,PX5,PY5,PX6,PY6,PX7,PY7
110000,0,0,0,0,0.141603,0.606969,0.635712,0.717297,1,1,1,1,0.840188,0.394383,0.783099,0.79844,0.911647,0.197551,0.335223,0.76823,0.277775,0.55397,0.477397,0.628871,0.364784,0.513401,0.95223,0.916195
110001,0,0,0,0,0.292517,0.493583,0.771358,0.972775,1,1,1,1,0.0163006,0.242887,0.137232,0.804177,0.156679,0.400944,0.12979,0.108809,0.998925,0.218257,0.512932,0.839112,0.61264,0.296032,0.637552,0.524287
110002,0,0,0,0,0.020023,0.0641713,0.23828,0.457702,1,1,1,1,0.526745,0.769914,0.400229,0.891529,0.283315,0.352458,0.807725,0.919026,0.0697553,0.949327,0.525995,0.0860558,0.192214,0.663227,0.890233,0.348893
110003,0,0,0,0,0.354049,0.639979,0.687861,0.738534,1,1,1,1,0.970634,0.902208,0.85092,0.266666,0.53976,0.375207,0.760249,0.512535,0.667724,0.531606,0.0392803,0.437638,0.931835,0.93081,0.720952,0.284293
110004,0,0,0,0,0.482491,0.684219,0.814767,0.910972,1,1,1,1,0.165974,0.440105,0.880075,0.829201,0.330337,0.228968,0.893372,0.35036,0.68667,0.956468,0.58864,0.657304,0.858676,0.43956,0.92397,0.398437
110005,0,0,0,0,0.103171,0.169607,0.416501,0.906804,1,1,1,1,0.215825,0.950252,0.920128,0.14766,0.881062,0.641081,0.431953,0.619596,0.281059,0.786002,0.307458,0.447034,0.226107,0.187533,0.276235,0.556444
110006,0,0,0,0,0.0745298,0.164102,0.745071,0.79347,1,1,1,1,0.126075,0.495444,0.760475,0.984752,0.935004,0.684445,0.383188,0.749771,0.368664,0.29416,0.232262,0.584489,0.244413,0.15239,0.732149,0.125475
110007,0,0,0,0,0.204655,0.46142,0.573319,0.819677,1,1,1,1,0.950104,0.0525293,0.521563,0.176211,0.240062,0.797798,0.732654,0.656564,0.967405,0.639458,0.759735,0.0934805,0.134902,0.52021,0.0782321,0.0699064
110008,0,0,0,0,0.359095,0.39169,0.819695,0.913027,1,1,1,1,0.755581,0.0519388,0.157807,0.999994,0.204329,0.889956,0.125468,0.997799,0.0540576,0.87054,0.0723288,0.00416161,0.923069,0.593892,0.180372,0.163131
110009,0,0,0,0,0.831038,0.873271,0.925377,0.979434,1,1,1,1,0.552485,0.57943,0.452576,0.687387,0.0996401,0.530808,0.757294,0.304295,0.992228,0.576971,0.877614,0.747809,0.62891,0.0354209,0.747803,0.833239
